Subnet
10.90.3.0/24  (SAN_Management)
10.90.5.0/24  (Server Managment)
10.90.12.0/24  (Virtualization_Managment)
10.90.32.0/24  (LB_LAN)
10.90.41.0/24  (LB_Server_VIPS-UAT)
10.90.42.0/24  (LB_Server_VIPS-prod)
10.90.43.0/24  (LB_Server_VIPS-edu)
10.90.112.0/24  (Print Services)
10.90.113.0/24  (Projectors and Automation)
10.90.128.0/24  (Application Servers AUTH)
10.90.170.16/29  (sharepoint backend)
10.90.205.0/24  (dmz-mgmt-DMZ management)
10.90.206.0/24  (Produdction DB Mgmt)
10.90.233.0/24  (Security Management)
